"","slope_erp_dif$mus_code","slope_erp_dif$ElectrodeSite","Task","slope_erp_dif$auc_n450"
"1","mus","cz","simon",261.193460119604
"2","nm","cz","simon",173.718066265562
"3","mus","fz","simon",215.864376269486
"4","nm","fz","simon",175.262462133964
"5","mus","pz","simon",204.123430404948
"6","nm","pz","simon",154.814465882513
"7","mus","cz","stroop",118.114384219354
"8","nm","cz","stroop",140.291266770554
"9","mus","fz","stroop",126.599601188465
"10","nm","fz","stroop",171.379149098904
"11","mus","pz","stroop",100.422442072935
"12","nm","pz","stroop",117.280010335939
