"","slope_erp_dif$mus_code","slope_erp_dif$ElectrodeSite","Task","slope_erp_dif$auc_p3"
"1","mus","cz","simon",257.068453983343
"2","nm","cz","simon",174.669377971478
"3","mus","fz","simon",218.678485531302
"4","nm","fz","simon",171.478982672511
"5","mus","pz","simon",208.09511484051
"6","nm","pz","simon",155.759480330883
"7","mus","cz","stroop",111.33294203733
"8","nm","cz","stroop",131.967257254046
"9","mus","fz","stroop",128.200461499884
"10","nm","fz","stroop",170.122524437093
"11","mus","pz","stroop",101.887265771328
"12","nm","pz","stroop",115.931748906963
